cod_resultado_fatec;codcursofatec;cod_curso;nome_curso;codfatec;cod_instituicao;instituicao;ano;semestre;periodo;qtde_vagas;qtde_inscrito;demanda;nota_corte;nota_maxima
0;270;0;Ciência de Dados;71;0;Fatec Adamantina;2022;2;NOITE;0;0;0;25,143;85,250
0;186;0;Gestão Comercial;71;0;Fatec Adamantina;2022;2;NOITE;0;0;0;44,000;77,970
0;194;0;Análise e Desenvolvimento de Sistemas;3;0;Fatec Americana - Ministro Ralph Biasi;2022;2;TARDE;0;0;0;57,750;92,400
0;194;0;Análise e Desenvolvimento de Sistemas;3;0;Fatec Americana - Ministro Ralph Biasi;2022;2;MANHÃ;0;0;0;70,125;90,200
0;0;0;Design de Moda;3;0;Fatec Americana - Ministro Ralph Biasi;2022;2;MANHÃ;0;0;0;50,000;81,675
0;245;0;Gestão Empresarial;3;0;Fatec Americana - Ministro Ralph Biasi;2022;2;MANHÃ;0;0;0;39,000;87,010
0;245;0;Gestão Empresarial;3;0;Fatec Americana - Ministro Ralph Biasi;2022;2;NOITE;0;0;0;64,750;90,750
0;245;0;Gestão Empresarial;3;0;Fatec Americana - Ministro Ralph Biasi;2022;2;EAD;0;0;0;77,250;94,355
0;0;0;Jogos Digitais;3;0;Fatec Americana - Ministro Ralph Biasi;2022;2;NOITE;0;0;0;61,020;93,000
0;179;0;Logística;3;0;Fatec Americana - Ministro Ralph Biasi;2022;2;MANHÃ;0;0;0;43,250;86,750
0;179;0;Logística;3;0;Fatec Americana - Ministro Ralph Biasi;2022;2;NOITE;0;0;0;59,125;95,203
0;0;0;Produção Têxtil;3;0;Fatec Americana - Ministro Ralph Biasi;2022;2;NOITE;0;0;0;41,250;80,575
0;198;0;Segurança da Informação;3;0;Fatec Americana - Ministro Ralph Biasi;2022;2;MANHÃ;0;0;0;52,800;93,500
0;198;0;Segurança da Informação;3;0;Fatec Americana - Ministro Ralph Biasi;2022;2;NOITE;0;0;0;70,562;94,920
0;194;0;Análise e Desenvolvimento de Sistemas;35;0;Fatec Araçatuba - Prof. Fernando Amaral de Almeida Prado;2022;2;MANHÃ;0;0;0;60,500;100,000
0;125;0;Biocombustíveis;35;0;Fatec Araçatuba - Prof. Fernando Amaral de Almeida Prado;2022;2;NOITE;0;0;0;DESCL.;85,525
0;245;0;Gestão Empresarial;35;0;Fatec Araçatuba - Prof. Fernando Amaral de Almeida Prado;2022;2;EAD;0;0;0;64,000;91,850
0;186;0;Gestão Comercial;67;0;Fatec Araraquara;2022;2;NOITE;0;0;0;52,545;77,688
0;245;0;Gestão Empresarial;67;0;Fatec Araraquara;2022;2;MANHÃ;0;0;0;29,975;88,500
0;198;0;Segurança da Informação;67;0;Fatec Araraquara;2022;2;NOITE;0;0;0;66,275;92,125
0;275;0;Desenvolvimento de Software Multiplataforma;68;0;Fatec Araras;2022;2;NOITE;0;0;0;57,750;84,000
0;245;0;Gestão Empresarial;68;0;Fatec Araras;2022;2;NOITE;0;0;0;52,250;83,325
0;186;0;Gestão Comercial;61;0;Fatec Assis;2022;2;NOITE;0;0;0;53,675;83,050
0;97;0;Gestão da Tecnologia da Informação;61;0;Fatec Assis;2022;2;NOITE;0;0;0;54,450;89,650
0;277;0;Gestão Hospitalar;74;0;Fatec Barretos;2022;2;NOITE;0;0;0;45,750;80,250
0;274;0;Comércio Exterior;47;0;Fatec Barueri - Padre Danilo José de Oliveira Ohl;2022;2;TARDE;0;0;0;38,420;92,675
0;274;0;Comércio Exterior;47;0;Fatec Barueri - Padre Danilo José de Oliveira Ohl;2022;2;NOITE;0;0;0;69,575;89,100
0;265;0;Design de Mídias Digitais;47;0;Fatec Barueri - Padre Danilo José de Oliveira Ohl;2022;2;NOITE;0;0;0;71,000;92,125
0;163;0;Eventos;47;0;Fatec Barueri - Padre Danilo José de Oliveira Ohl;2022;2;MANHÃ;0;0;0;32,960;80,575
0;97;0;Gestão da Tecnologia da Informação;47;0;Fatec Barueri - Padre Danilo José de Oliveira Ohl;2022;2;MANHÃ;0;0;0;65,725;83,903
0;224;0;Gestão de Recursos Humanos;47;0;Fatec Barueri - Padre Danilo José de Oliveira Ohl;2022;2;MANHÃ;0;0;0;58,850;94,050
0;245;0;Gestão Empresarial;47;0;Fatec Barueri - Padre Danilo José de Oliveira Ohl;2022;2;EAD;0;0;0;74,298;93,790
0;179;0;Logística;47;0;Fatec Barueri - Padre Danilo José de Oliveira Ohl;2022;2;TARDE;0;0;0;35,030;82,250
0;0;0;Transporte Terrestre;47;0;Fatec Barueri - Padre Danilo José de Oliveira Ohl;2022;2;NOITE;0;0;0;22,825;79,475
0;92;0;Automação Industrial;40;0;Fatec Bauru;2022;2;NOITE;0;0;0;62,216;89,095
0;221;0;Banco de Dados;40;0;Fatec Bauru;2022;2;NOITE;0;0;0;71,585;95,768
0;245;0;Gestão Empresarial;40;0;Fatec Bauru;2022;2;EAD;0;0;0;70,950;88,275
0;277;0;Gestão Hospitalar;40;0;Fatec Bauru;2022;2;MANHÃ;0;0;0;33,053;79,200
0;0;0;Redes de Computadores;40;0;Fatec Bauru;2022;2;MANHÃ;0;0;0;48,002;95,425
0;0;0;Sistemas Biomédicos;40;0;Fatec Bauru;2022;2;MANHÃ;0;0;0;0;0
0;0;0;Sistemas Biomédicos;40;0;Fatec Bauru;2022;2;NOITE;0;0;0;46,750;97,900
0;0;0;Big Data no Agronegócio;62;0;Fatec Bebedouro - Jorge Caram Sabbag;2022;2;NOITE;0;0;0;42,350;95,150
0;179;0;Logística;62;0;Fatec Bebedouro - Jorge Caram Sabbag;2022;2;NOITE;0;0;0;32,703;78,375
