id;curso
247;Agroindústria 
75;Agronegócio 
76;Alimentos 
266;Análise de Processos Agroindustriais 
194;Análise e Desenvolvimento de Sistemas 
92;Automação Industrial 
221;Banco de Dados 
262;Big Data no Agronegócio
276;Big Data para Negócios 
125;Biocombustíveis 
270;Ciência de Dados 
274;Comércio Exterior 
91;Construção Civil - Edifícios 
242;Construção de Edifícios 
90;Construção Naval 
243;Controle de Obras 
248;Cosméticos
278;Defesa Cibernética
267;Desenvolvimento de Produtos Plásticos 
275;Desenvolvimento de Software Multiplataforma 
265;Design de Mídias Digitais 
260;Design de Moda
271;Design de Produto com Ênfase em Processos de Produção e Industrialização
118;Eletrônica Automotiva 
252;Eletrônica Industrial
108;Estradas 
163;Eventos 
240;Fabricação Mecânica
257;Geoprocessamento
226;Gestão Ambiental
186;Gestão Comercial 
94;Gestão da Produção Industrial 
269;Gestão da Qualidade 
97;Gestão da Tecnologia da Informação 
264;Gestão de Energia e Eficiência Energética 
256;Gestão de Negócios e Inovação
224;Gestão de Recursos Humanos 
253;Gestão de Serviços 
227;Gestão de Turismo 
245;Gestão Empresarial 
187;Gestão Financeira 
277;Gestão Hospitalar 
254;Gestão Portuária
96;Hidráulica e Saneamento Ambiental 
100;Informática para Negócios
258;Instalações Elétricas 
199;Jogos Digitais
179;Logística 
208;Logística Aeroportuária 
263;Manufatura Avançada
219;Manutenção de Aeronaves 
201;Manutenção Industrial 
259;Marketing 
236;Materiais 
104;Mecânica - Processos de Produção 
246;Mecânica - Processos de Soldagem 
105;Mecânica - Projetos 
250;Mecânica Automobilística
103;Mecânica de Precisão
191;Mecanização em Agricultura de Precisão
111;Mecatrônica Industrial
149;Meio Ambiente e Recursos Hídricos
261;Microeletrônica
234;Polímeros
223;Processos Metalúrgicos
225;Processos Químicos
268;Produção Agropecuária
220;Produção Fonográfica
217;Produção Industrial
192;Produção Têxtil
251;Projetos de Estruturas Aeronáuticas
235;Projetos Mecânicos
164;Radiologia
222;Redes de Computadores
255;Refrigeração, Ventilação e Ar Condicionado
165;Secretariado
89;Secretariado e Assessoria Internacional
198;Segurança da Informação 
127;Silvicultura
115;Sistemas Biomédicos
273;Sistemas Embarcados
109;Sistemas Navais
197;Sistemas para Internet
106;Soldagem 
218;Transporte Terrestre
